Statistic Label,Year,Type of Building and Construction,UNIT,VALUE
Value of Production Index in Building and Construction (Seasonally Adjusted),2008,Building (excluding civil engineering),Base 2015=100,237.8353009
Value of Production Index in Building and Construction (Seasonally Adjusted),2008,Residential building,Base 2015=100,354.7909422
Value of Production Index in Building and Construction (Seasonally Adjusted),2008,Non-residential building,Base 2015=100,154.7172473
Value of Production Index in Building and Construction (Seasonally Adjusted),2008,Civil engineering,Base 2015=100,158.9852769
Value of Production Index in Building and Construction (Seasonally Adjusted),2009,All building and construction,Base 2015=100,132.6206414
Value of Production Index in Building and Construction (Seasonally Adjusted),2009,Building (excluding civil engineering),Base 2015=100,131.186339
Value of Production Index in Building and Construction (Seasonally Adjusted),2009,Residential building,Base 2015=100,146.8886493
Value of Production Index in Building and Construction (Seasonally Adjusted),2009,Non-residential building,Base 2015=100,118.8456672
Value of Production Index in Building and Construction (Seasonally Adjusted),2009,Civil engineering,Base 2015=100,136.690921
Value of Production Index in Building and Construction (Seasonally Adjusted),2010,All building and construction,Base 2015=100,93.90519314
Value of Production Index in Building and Construction (Seasonally Adjusted),2010,Building (excluding civil engineering),Base 2015=100,88.23225768
Value of Production Index in Building and Construction (Seasonally Adjusted),2010,Residential building,Base 2015=100,92.31361985
Value of Production Index in Building and Construction (Seasonally Adjusted),2010,Non-residential building,Base 2015=100,84.86708278
Value of Production Index in Building and Construction (Seasonally Adjusted),2010,Civil engineering,Base 2015=100,107.3958875
Value of Production Index in Building and Construction (Seasonally Adjusted),2011,All building and construction,Base 2015=100,76.01466982
Value of Production Index in Building and Construction (Seasonally Adjusted),2011,Building (excluding civil engineering),Base 2015=100,74.47111417
Value of Production Index in Building and Construction (Seasonally Adjusted),2011,Residential building,Base 2015=100,65.70353145
Value of Production Index in Building and Construction (Seasonally Adjusted),2011,Non-residential building,Base 2015=100,81.40797348
Value of Production Index in Building and Construction (Seasonally Adjusted),2011,Civil engineering,Base 2015=100,79.70901479
Value of Production Index in Building and Construction (Seasonally Adjusted),2012,All building and construction,Base 2015=100,74.87889388
Value of Production Index in Building and Construction (Seasonally Adjusted),2012,Building (excluding civil engineering),Base 2015=100,66.74947788
Value of Production Index in Building and Construction (Seasonally Adjusted),2012,Residential building,Base 2015=100,58.12437922
Value of Production Index in Building and Construction (Seasonally Adjusted),2012,Non-residential building,Base 2015=100,73.45463906
Value of Production Index in Building and Construction (Seasonally Adjusted),2012,Civil engineering,Base 2015=100,93.70426431
Value of Production Index in Building and Construction (Seasonally Adjusted),2013,All building and construction,Base 2015=100,83.83033861
Value of Production Index in Building and Construction (Seasonally Adjusted),2013,Building (excluding civil engineering),Base 2015=100,77.09099482
Value of Production Index in Building and Construction (Seasonally Adjusted),2013,Residential building,Base 2015=100,64.75327288
Value of Production Index in Building and Construction (Seasonally Adjusted),2013,Non-residential building,Base 2015=100,87.81511029
Value of Production Index in Building and Construction (Seasonally Adjusted),2013,Civil engineering,Base 2015=100,99.24241463
Value of Production Index in Building and Construction (Seasonally Adjusted),2014,All building and construction,Base 2015=100,91.88496093
Value of Production Index in Building and Construction (Seasonally Adjusted),2014,Building (excluding civil engineering),Base 2015=100,86.77873997
Value of Production Index in Building and Construction (Seasonally Adjusted),2014,Residential building,Base 2015=100,76.53920448
Value of Production Index in Building and Construction (Seasonally Adjusted),2014,Non-residential building,Base 2015=100,94.90202126
Value of Production Index in Building and Construction (Seasonally Adjusted),2014,Civil engineering,Base 2015=100,103.4771688
Value of Production Index in Building and Construction (Seasonally Adjusted),2015,All building and construction,Base 2015=100,100.2166734
Value of Production Index in Building and Construction (Seasonally Adjusted),2015,Building (excluding civil engineering),Base 2015=100,100.0915304
Value of Production Index in Building and Construction (Seasonally Adjusted),2015,Residential building,Base 2015=100,100.1635747
Value of Production Index in Building and Construction (Seasonally Adjusted),2015,Non-residential building,Base 2015=100,99.89020561
Value of Production Index in Building and Construction (Seasonally Adjusted),2015,Civil engineering,Base 2015=100,100.4987619
Value of Production Index in Building and Construction (Seasonally Adjusted),2016,All building and construction,Base 2015=100,109.9742466
Value of Production Index in Building and Construction (Seasonally Adjusted),2016,Building (excluding civil engineering),Base 2015=100,111.4375563
Value of Production Index in Building and Construction (Seasonally Adjusted),2016,Residential building,Base 2015=100,124.0443322
Value of Production Index in Building and Construction (Seasonally Adjusted),2016,Non-residential building,Base 2015=100,109.7119798
Value of Production Index in Building and Construction (Seasonally Adjusted),2016,Civil engineering,Base 2015=100,103.2875975
Value of Production Index in Building and Construction (Seasonally Adjusted),2017,All building and construction,Base 2015=100,126.3133807
Value of Production Index in Building and Construction (Seasonally Adjusted),2017,Building (excluding civil engineering),Base 2015=100,130.0989508
Value of Production Index in Building and Construction (Seasonally Adjusted),2017,Residential building,Base 2015=100,146.0423106
Value of Production Index in Building and Construction (Seasonally Adjusted),2017,Non-residential building,Base 2015=100,127.4598866
Value of Production Index in Building and Construction (Seasonally Adjusted),2017,Civil engineering,Base 2015=100,108.4159055
Value of Production Index in Building and Construction (Seasonally Adjusted),2018,All building and construction,Base 2015=100,144.769944
Value of Production Index in Building and Construction (Seasonally Adjusted),2018,Building (excluding civil engineering),Base 2015=100,148.9182248
